id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.1
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.6,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.4,80,0.59,0.6,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ocean Drift,Blue Horizon,Ambient,Calm,0.22,68,0.41,0.28,0.95
12,City Lights,Nova Skyline,Synthpop,Upbeat,0.78,118,0.83,0.81,0.12
13,Dusty Trails,Canyon Road,Country,Warm,0.49,96,0.71,0.57,0.63
14,Iron Pulse,Forge,Metal,Aggressive,0.97,178,0.32,0.54,0.02
15,Velvet Nights,Soul Avenue,R&B,Romantic,0.58,88,0.79,0.73,0.34
16,Island Breeze,Coco Waves,Reggae,Relaxed,0.52,82,0.85,0.76,0.42
17,Moon Waltz,Silver Quartet,Classical,Peaceful,0.18,72,0.52,0.21,0.99
18,Electric Bloom,Aurora X,EDM,Energetic,0.93,132,0.91,0.94,0.04
19,Golden Hour,Maple Street,Indie,Nostalgic,0.44,104,0.68,0.61,0.56
20,Street Cipher,Rhythm Poet,Hip-Hop,Confident,0.74,92,0.63,0.82,0.09